,Bowlers,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage
37,GA Garrett,0.2795108585708336,0.050671862914261914,0.05175560778247159
38,JDM Evison,0.15279560969627604,0.03967976127212525,0.04463279238032948
39,JA Leaning,0.1319727054589082,0.016190461907618477,0.020383023395320936
40,MW Parkinson,0.11028174531537711,0.020736379391269814,0.02940582012492328
41,T Banton,0.0,0.0,0.0
42,KAJ Roach,0.3483384738955823,0.11067935742971888,0.099780281124498
43,TE Lawes,0.2329756027554535,0.08679133180252582,0.06572043628013777
44,DW Lawrence,0.4202267099410987,0.027635533116961177,0.06167844692871739
45,J Clark,0.5435761197825603,0.0946540356677369,0.11512623581396826
46,J Overton,0.6802525773195875,0.020556701030927833,0.12379381443298969
47,CT Steel,0.3976886283704572,0.09964876905041031,0.07842649472450176
48,TE Bailey,0.2928901771148916,0.04736955255185271,0.09151881845723608
49,NM Lyon,0.3193141315316106,0.007358311762383188,0.05165090159259422
50,TW Hartley,0.5044195078565076,0.019997776460124517,0.047601245182330276
51,WSA Williams,0.24701246561973206,0.04713099991127673,0.08394206370330937
52,AAP Atkinson,0.5988927721716302,0.13159373205349084,0.17378209861350397
53,C Overton,0.6911137826063178,0.08874667784684373,0.09885659600065623
54,M Pretorius,0.6826609934314375,0.09666325933092318,0.09669397627170426
55,Shoaib Bashir,0.7154226964333092,0.022228215138536178,0.021039760451806087
56,MJ Potts,0.5695723750398743,0.08668436679508257,0.10981657792064388
57,SM Boland,0.7526654804270463,0.0,0.03016725978647687
58,BA Raine,0.6043166225778007,0.07934260274856443,0.12030612727702863
59,BA Carse,0.6988757410481385,0.05076997865781361,0.09576879298079202
60,CF Parkinson,0.7765087522507896,0.03313779260265076,0.07134318269032086
61,CN Ackermann,0.7927157643312102,0.04169426751592356,0.043289543524416135
62,CN Miles,0.7405594411053001,0.07813425962063851,0.0765961283272188
63,DR Mousley,0.8717350427350428,0.008444444444444444,0.04264957264957265
64,MGK Burgess,,,
65,GP Balderson,0.30397727962638643,0.06161882078225336,0.07545018096906013
66,JM Blatherwick,0.384888368462139,0.08349648711943794,0.07649414519906324
67,LWP Wells,0.23601201391084414,0.009331489092633575,0.05200221308883971
68,Muhammad Abbas,0.5459408235875999,0.10678382819854174,0.11395063579941606
69,KJ Abbott,0.5282608131849744,0.10319275495691459,0.11395988454781227
70,IG Holland,0.8241403448275861,0.032724482758620686,0.03347793103448275
71,LA Dawson,0.6759021541573815,0.02977921072179287,0.04974259162676023
72,JK Fuller,0.5550318321678323,0.10802209790209791,0.0971796923076923
73,TJ Prest,0.5466133333333334,0.013326666666666667,0.08009333333333334
74,NRT Gubbins,0.8343807947019868,0.06624172185430463,0.0
75,GJ Bell,0.812546875,0.031171875,0.046890625
76,JK Denly,0.8214185639229422,0.052514886164623464,0.0017513134851138354
77,AP Beard,0.19130694564279552,0.03341350301984469,0.07154637618636756
78,T Westley,0.0038233369683751363,0.028374591057797164,0.04470119956379498
79,JO Baker,0.8754176197836168,0.0,0.05981174652241113
80,LJ Fletcher,0.5947542781580586,0.060437072184194154,0.07340899191039203
81,LA Patterson-White,0.8061873498799039,0.028829623698959167,0.025311849479583665
82,BFW de Leede,0.6075893808739463,0.07981387462455189,0.1436909214223428
83,P Coughlin,0.5769237597911228,0.06759248041775458,0.11745389033942559
84,H Ali,0.7805650762739371,0.03895131450827653,0.05289516390782213
85,TA Lammonby,0.8032774193548388,0.0025806451612903226,0.01358258064516129
86,DJ Worrall,0.4584174918221201,0.11952303067810095,0.11858328176111749
87,Arafat Bhuiyan,0.015590627077332152,0.042974739641037,0.024720031021493463
88,J Singh,0.22557055664062498,0.045201171875,0.039557861328125
89,NRM Thain,0.6328373375344624,0.10403702244978337,0.10683142969673098
90,BJ Gibbon,0.4268876207814032,0.08520361293936422,0.06502772720907436
91,Aamir Jamal,0.7971479652902455,0.09144449431478156,0.06835607420706163
92,OP Stone,0.5264230914946012,0.10731776851676453,0.07243853002462587
93,BT Slater,,,
94,BTJ Wheal,0.4771130369253956,0.0931752072343632,0.10225383069580507
95,G Stewart,0.47965283957845434,0.04999013466042154,0.07279604800936768
96,JL Denly,0.019366571018651364,0.012163558106169295,0.051646341463414625
97,PM Siddle,0.7131704184504903,0.09388772269023615,0.09502596326474244
98,FS Organ,0.7693272432591718,0.03485526251166446,0.0348011394332302
99,S Mahmood,0.5700426966292135,0.034491760299625474,0.053973033707865166
100,SA Abbott,0.5201251679956993,0.09171651285727087,0.10015285368694561
101,B Swanepoel,0.20024577038223212,0.049219800877254055,0.062006614217085566
102,RP Jones,0.0,0.1111111111111111,0.1111111111111111
103,KHD Barker,0.6163505679592636,0.1372234625930278,0.07578965922444184
104,BA Stokes,0.5353281071835804,0.11201510832383124,0.13822719498289623
