,Bowlers,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage
29,JT Ball,0.30209218203033844,0.03621820303383898,0.037239206534422406
30,EO Leonard,0.2949274193548387,0.04058870967741936,0.039887096774193546
31,L Gregory,0.30645275590551185,0.039107086614173225,0.042872440944881886
32,MT Renshaw,0.15212254901960784,0.011681372549019608,0.015004901960784316
33,KL Aldridge,0.2720946601941748,0.03542152103559871,0.03245064724919094
34,LP Goldsworthy,0.12745620437956204,0.009791970802919707,0.01039051094890511
35,NN Gilchrist,0.2685532302092812,0.03617925386715195,0.03553230209281164
36,WA Agar,0.1913571428571429,0.026319241982507287,0.02629446064139942
37,GA Garrett,0.3528160714285714,0.04085535714285714,0.04023928571428572
38,JDM Evison,0.2628768233387358,0.02999756888168557,0.036013776337115076
39,JA Leaning,0.2424772277227723,0.012475247524752474,0.020790099009900993
40,MW Parkinson,0.088328131252501,0.013997198879551821,0.013243697478991599
41,T Banton,0.0726,0.0018000000000000002,0.004066666666666666
42,KAJ Roach,0.32428558718861206,0.04117615658362989,0.04536120996441281
43,TE Lawes,0.1860419664268585,0.02562350119904077,0.025191846522781773
44,DW Lawrence,0.14308446601941746,0.009239805825242718,0.012399029126213592
45,J Clark,0.31975630676084765,0.04100252270433905,0.042568113017154394
46,J Overton,0.09185555555555557,0.012083333333333333,0.009644444444444445
47,CT Steel,0.23307340324118206,0.013332697807435654,0.018586272640610104
48,TE Bailey,0.22714652014652015,0.02875876504447933,0.02994924123495552
49,NM Lyon,0.2106527852893456,0.011442942130881558,0.017643591130340724
50,TW Hartley,0.22069473684210525,0.012557894736842106,0.017923684210526317
51,WSA Williams,0.30321024868123586,0.031712132629992465,0.03756744536548606
52,AAP Atkinson,0.2307250608272506,0.03178467153284671,0.03105474452554745
53,C Overton,0.3288894637817497,0.03521448730009407,0.035340075258701795
54,M Pretorius,0.35080949057920446,0.045609211444521985,0.04729378925331472
55,Shoaib Bashir,0.32748954895489546,0.014845984598459847,0.024882288228822883
56,MJ Potts,0.2803387305699482,0.03660103626943005,0.03816774611398964
57,SM Boland,0.18574358974358976,0.024166666666666666,0.023820512820512823
58,BA Raine,0.2782906026557712,0.032445352400408585,0.035215015321756894
59,BA Carse,0.22528260869565217,0.02806521739130435,0.0284933110367893
60,CF Parkinson,0.21904523480662985,0.011232734806629835,0.017248273480662983
61,CN Ackermann,0.3300782778864971,0.015262230919765165,0.02467514677103718
62,CN Miles,0.23009952606635073,0.027129541864139024,0.02834913112164297
63,DR Mousley,0.08460283687943262,0.005829787234042554,0.007326241134751774
64,MGK Burgess,0.0,0.0,0.0
65,GP Balderson,0.2391792303637322,0.03263046916183447,0.034898787559304166
66,JM Blatherwick,0.1607076923076923,0.02046153846153846,0.020234615384615382
67,LWP Wells,0.28122963800904976,0.013873303167420813,0.021650452488687782
68,Muhammad Abbas,0.29889666510098645,0.0389502113668389,0.04153076561766087
69,KJ Abbott,0.3232131076388889,0.04166189236111111,0.04434982638888888
70,IG Holland,0.2069677419354839,0.01997695852534562,0.025078341013824886
71,LA Dawson,0.2996072477962782,0.01520992491021874,0.022199151158994453
72,JK Fuller,0.24814425087108014,0.031900348432055754,0.031181184668989545
73,TJ Prest,0.34108333333333335,0.013527777777777777,0.022500000000000003
74,NRT Gubbins,0.26899074074074075,0.013120370370370373,0.018990740740740742
75,GJ Bell,0.16258333333333333,0.021291666666666667,0.015625
76,JK Denly,0.36156944444444444,0.016416666666666666,0.02488888888888889
77,AP Beard,0.3927185185185185,0.05198518518518519,0.04955925925925926
78,T Westley,0.13768,0.009300000000000001,0.01582
79,JO Baker,0.10915458937198066,0.00476328502415459,0.008818840579710146
80,LJ Fletcher,0.33053084415584416,0.031884740259740266,0.032178571428571424
81,LA Patterson-White,0.1784234234234234,0.008137709137709137,0.014592020592020593
82,BFW de Leede,0.22127358490566035,0.02881367924528302,0.029875
83,P Coughlin,0.24888223552894212,0.029974051896207585,0.029530938123752497
84,H Ali,0.1738729641693811,0.02785342019543974,0.023729641693811074
85,TA Lammonby,0.5152098765432098,0.029962962962962962,0.03500617283950617
86,DJ Worrall,0.2902202202202202,0.0382917917917918,0.039865365365365356
87,Arafat Bhuiyan,0.39490322580645165,0.04698924731182796,0.05189247311827957
88,J Singh,0.2837485207100592,0.03789940828402367,0.03673372781065089
89,NRM Thain,0.3036333333333333,0.036811111111111114,0.042088888888888884
90,BJ Gibbon,0.38393214862681746,0.05290468497576738,0.054432956381260104
91,Aamir Jamal,0.3209900497512438,0.04061691542288558,0.04360199004975124
92,OP Stone,0.2602309368191721,0.03486383442265795,0.032249455337690636
93,BT Slater,0.0,0.0,0.0
94,BTJ Wheal,0.2442461139896373,0.03132901554404145,0.03396891191709845
95,G Stewart,0.3554853911404336,0.04511027332704995,0.04848162111215834
96,JL Denly,0.26108571428571425,0.01406857142857143,0.02234285714285714
97,PM Siddle,0.3048029739776951,0.03807434944237918,0.03972490706319703
98,FS Organ,0.2675967741935484,0.016803605313092978,0.01934629981024668
99,S Mahmood,0.2370645161290323,0.030512544802867383,0.03159498207885305
100,SA Abbott,0.26284244372990356,0.03505466237942122,0.03570578778135049
101,B Swanepoel,0.28154761904761905,0.03618181818181818,0.04038311688311688
102,RP Jones,0.0,0.0,0.0
103,KHD Barker,0.2178448484848485,0.025985454545454548,0.02690545454545455
104,BA Stokes,0.197,0.028453068592057765,0.025651624548736464
105,TH Aspinwall,0.20526584507042256,0.027878521126760564,0.02988028169014085
106,MD Rae,0.16972131147540986,0.019830104321907602,0.021187779433681077
107,CB Simmons,0.30411904761904757,0.03488888888888889,0.03330952380952381
108,MK O'Riordan,0.31761518324607324,0.01530104712041885,0.02334554973821989
109,MJ Leach,0.40526506531816264,0.01971976401179941,0.03347619047619047
110,ARI Umeed,0.11658011049723756,0.006237569060773481,0.010646408839779006
111,Yadvinder Singh,0.45318072289156625,0.06387951807228916,0.06607831325301204
112,JP Morley,0.33105042016806724,0.015008403361344538,0.024621848739495796
113,JB Lintott,0.18954761904761902,0.007452380952380953,0.010857142857142857
114,MG Neser,0.1883010752688172,0.024419354838709675,0.026129032258064518
115,E Bosch,0.29999649122807015,0.03712631578947368,0.04084561403508772
116,SG Borthwick,0.2596235294117647,0.0252,0.03132941176470588
117,JEK Rew,0.6085000000000002,0.010833333333333334,0.014666666666666666
118,CR Woakes,0.32260514018691594,0.042123831775700935,0.04425934579439253
119,CH Stobo,0.2862816188870152,0.032902192242833056,0.031787521079258016
120,TAI Taylor,0.3078191161356629,0.03961356628982528,0.043066803699897224
121,BMJ Allison,0.4321881188118812,0.05576897689768977,0.058587458745874586
122,EA Brookes,0.4360576208178438,0.04014684014869889,0.04335873605947955
123,JPA Taylor,0.3365786666666667,0.04494666666666667,0.04663199999999999
124,JM Anderson,0.21213978494623656,0.03153225806451612,0.03419892473118279
125,CJ Green,0.24205555555555555,0.015866666666666668,0.01172222222222222
126,JW Hartshorn,0.37962222222222225,0.04388333333333334,0.04395555555555556
127,ARJ Ogborne,0.39466666666666667,0.04856140350877192,0.0518187134502924
128,A Jordan,0.2781114551083591,0.03306501547987616,0.03791950464396285
129,SM Curran,0.28467320261437906,0.03650326797385622,0.031859477124183
130,C McKerr,0.24994396551724135,0.03299568965517241,0.03166810344827586
131,JA Boyden,0.3342432432432433,0.03514414414414414,0.03613513513513514
132,VR Iyer,0.30923333333333336,0.0375,0.03686666666666667
133,JJ Bohannon,0.3213783783783784,0.018540540540540544,0.023243243243243245
134,WG Jacks,0.040555269922879174,0.002226221079691517,0.004025706940874035
135,FW McCann,0.20926333333333333,0.010386666666666666,0.01779
136,N Wagner,0.26951851851851855,0.02632407407407407,0.027592592592592592
137,DM Hogg,0.29185120350109417,0.030358862144420132,0.03053172866520788
138,AJ Turner,0.44905555555555554,0.018,0.013888888888888888
139,JA Turner,0.20888065843621398,0.028353909465020578,0.02722222222222222
140,GS Drissell,0.18809259259259262,0.00975925925925926,0.016919753086419752
141,AM Vaughan,0.2408109517601043,0.013387222946544982,0.025770534550195564
142,R Lord,0.2246125,0.023862500000000005,0.0250525
143,F Ahmed,0.21651483253588516,0.013098564593301436,0.01641913875598086
144,H Hameed,0.0,0.0,0.0
145,RJ Burns,0.0,0.0,0.0
146,LV van Beek,0.2626181818181818,0.03409818181818182,0.03378727272727273
147,GS Virdi,0.3125151883353585,0.01475577156743621,0.026206561360874847
148,JM Vince,0.0,0.0,0.0
149,CK Holder,0.232555900621118,0.02734472049689441,0.027319875776397516
150,A Phillip,0.22836477987421386,0.03377148846960168,0.032257861635220125
151,SA Al Hasan,0.33722631578947365,0.018055263157894737,0.028423684210526316
152,TK Curran,0.2532978723404255,0.02886808510638298,0.031051063829787236
153,BG Randell,0.18953149606299216,0.022901574803149607,0.02240944881889764
154,JE Home,0.40069523809523805,0.053676190476190475,0.05103809523809524
155,JA Duffy,0.34745,0.04414666666666667,0.04688
156,J Minto,0.186906432748538,0.029333333333333333,0.021169590643274856
157,Y Majid,0.2480828729281768,0.011657458563535913,0.017718232044198895
158,RS Patel,0.1566849315068493,0.009219178082191781,0.008136986301369862
159,OFM Sykes,0.0,0.0,0.0
160,OG Robinson,0.08333333333333333,0.0,0.0
161,DG Bedingham,0.0,0.0,0.0
162,HPN Singh,0.4735833333333334,0.02741666666666667,0.03141666666666667
