Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
CF Parkinson,1,-0.6530639,2.0729141,LOB
CF Parkinson,0,-0.7141452,2.0615156,LOB
CF Parkinson,0,-0.83323,2.0857928,LOB
CF Parkinson,1,-0.6417969,2.110196,LOB
CF Parkinson,0,-0.6241257,2.1391756,LOB
CF Parkinson,1,-0.6096547,2.0643308,LOB
CF Parkinson,0,-0.6824571,2.0753184,LOB
CF Parkinson,0,-0.6809414,2.0647806,LOB
CF Parkinson,1,0.7742386,2.045679,LOB
CN Ackermann,0,0.9366545,2.1828464,ROB
CN Ackermann,0,-0.6115589,2.1445496,ROB
CN Ackermann,0,-0.627012,2.1618166,ROB
CN Ackermann,0,-0.6215874,2.1546437,ROB
CN Ackermann,6,-0.6856004,2.1568476,ROB
CN Ackermann,0,-0.6380732,2.2008578,ROB
PM Siddle,0,0.7738765,2.0098919,RFM
PM Siddle,0,0.7453661,2.0165896,RFM
PM Siddle,0,0.7800186,1.9776667,RFM
PM Siddle,0,0.7956801,2.0109531,RFM
PM Siddle,1,0.7564165,1.9867304,RFM
PM Siddle,0,0.7755071,1.9928228,RFM
PM Siddle,0,0.8107951,2.0725296,RFM
PM Siddle,1,0.7471383,2.080342,RFM
PM Siddle,0,-0.6251451,2.0287539,RFM
PM Siddle,3,0.9821122,2.063839,RFM
PM Siddle,0,-0.5944048,2.0463198,RFM
PM Siddle,0,0.838508,2.0265607,RFM
PM Siddle,0,0.8574609,2.0126138,RFM
PM Siddle,0,0.7356228,1.9480148,RFM
PM Siddle,0,-0.6830709,2.0410774,RFM
PM Siddle,0,-0.617317,2.0485554,RFM
CN Ackermann,0,-0.477165,2.1142303,ROB
CN Ackermann,1,-0.5565476,2.1579569,ROB
CN Ackermann,0,0.9396831,2.1214572,ROB
CN Ackermann,0,0.9106699,2.0786329,ROB
CN Ackermann,1,0.9350552,2.1442736,ROB
CN Ackermann,0,-0.6759223,2.302258,ROB
CN Ackermann,2,-0.5959691,2.1547561,ROB
CN Ackermann,0,-0.5729225,2.1815908,ROB
BA Raine,0,0.9025754,2.085281,RM
BA Raine,1,0.9214566,2.1123243,RM
BA Raine,1,-0.6606227,2.0263338,RM
BA Raine,0,0.9607975,2.0902932,RM
BA Raine,0,0.9319631,2.1003748,RM
BA Raine,1,0.8585447,2.0823625,RM
MJ Potts,1,0.7148429,1.9694429,RM
MJ Potts,0,-0.7253983,1.9858684,RM
MJ Potts,0,-0.7202507,1.9659846,RM
MJ Potts,0,-0.6465754,1.8712284,RM
MJ Potts,0,-0.6312001,1.929691,RM
BA Raine,0,0.920292,2.0859862,RM
BA Raine,4,0.7439031,1.9529381,RM
BA Raine,4,1.0103629,2.0951872,RM
MJ Potts,0,-0.6562916,1.9741239,RM
MJ Potts,0,-0.6556356,1.8857574,RM
MJ Potts,0,-0.6465927,1.8006669,RM
BA Raine,0,-0.6889084,2.1308991,RM
BA Raine,1,-0.625712,2.1165835,RM
BA Raine,0,-0.7523881,2.1302852,RM
MJ Potts,0,-0.6640756,1.9932012,RM
MJ Potts,0,-0.6924781,1.8901899,RM
MJ Potts,0,-0.6840062,1.9328243,RM
MJ Potts,0,-0.673516,1.9581246,RM
BA Raine,0,-0.6450757,2.066085,RM
BA Raine,0,-0.7738731,2.1508136,RM
BA Raine,0,-0.6877282,2.1372998,RM
BA Raine,4,-0.8197489,2.1735992,RM
BA Raine,0,-0.6648945,2.06886,RM
MJ Potts,0,-0.6874888,1.9356892,RM
