Bowler,Runs,Batting Hand,ReleaseY,ReleaseZ,PitchX,PitchY,PastY,PastZ
SR Harmer,0,LHB,0.8847382,2.3370334,5.8774233,-0.1896733,-0.2478953,0.5859659
SR Harmer,0,LHB,0.8965729,2.3783953,4.6103838,-0.0633995,-0.0035956,0.8114171
E Bosch,6,RHB,-0.9862967,2.0684872,5.1339524,-0.493236,-0.2909237,0.5502314
E Bosch,0,RHB,-0.9728374,2.0768427,7.0574295,-0.6443016,-0.67511,1.0430141
E Bosch,1,RHB,-0.8244028,2.0256247,8.6602396,-0.5283571,-0.3978613,0.7996969
E Bosch,4,LHB,0.8335793,2.0731452,8.0786389,0.537087,0.297217,0.9662246
E Bosch,1,LHB,0.8789839,2.0609455,8.0570311,0.322733,-0.3603491,0.9458266
E Bosch,0,RHB,-0.8666663,2.0231662,6.843921,-0.4405504,-0.3760486,0.8619287
SR Harmer,0,LHB,0.8430342,2.3311445,5.8984534,0.4072467,0.6342376,0.8933764
SR Harmer,0,LHB,0.8393758,2.2457717,5.0496723,0.2393303,0.4788236,0.8495101
SR Harmer,0,LHB,0.8702358,2.2725116,4.6431432,0.1935154,0.4371791,0.848594
SR Harmer,0,LHB,0.8697543,2.3698294,4.3186177,0.2175682,0.3870386,0.6807717
SR Harmer,0,LHB,0.8688381,2.2844428,5.1181379,0.2716187,0.5842402,0.8328433
E Bosch,4,RHB,-0.7585254,1.984507,8.8283379,-0.4917124,-0.4810764,0.9650263
E Bosch,1,RHB,-0.9426872,2.0578765,8.1705523,-0.5330801,-0.534591,1.1842583
E Bosch,4,LHB,0.9822599,2.0504901,8.4633379,0.6778621,0.1049578,0.8751585
E Bosch,0,RHB,-0.9989176,2.0571567,8.9989088,-0.4908161,0.3407575,0.7990825
E Bosch,0,LHB,0.9013426,2.0195062,9.1697466,0.3109725,-0.512908,0.8867011
E Bosch,1,LHB,1.0260865,2.1026755,8.2942723,0.4568951,-0.3082153,0.8183578
E Bosch,0,LHB,0.8448867,2.0879749,6.0614282,0.4968646,0.5570106,0.6417789
E Bosch,0,LHB,0.9457474,2.0343334,8.3122814,0.4381762,0.1302687,0.8196368
SR Harmer,0,RHB,-0.5819522,2.2156983,6.3754065,-0.2368714,0.3827168,0.8872225
MJJ Critchley,1,LHB,-0.4505121,2.1739308,8.9065572,0.0253277,-0.2132536,0.7653728
SR Harmer,1,RHB,-0.5701076,2.2497002,3.5847787,-0.3012122,-0.4116691,0.6867939
JA Porter,4,RHB,-0.9075821,1.8804041,8.720275,-0.6695717,-0.3526773,0.8889072
S Snater,0,RHB,-0.7856573,1.9937261,7.6577862,-0.3899074,-0.2889413,0.678102
S Snater,0,RHB,-0.7977097,1.9473694,9.7740207,-0.4178666,-0.0801096,0.6625811
S Snater,0,RHB,-0.9158109,2.1493965,6.0917265,-0.6048815,-0.7574578,0.6296437
S Snater,0,RHB,-0.8142922,2.0109995,10.279154,-0.5168615,-0.6579338,0.8590481
S Snater,0,RHB,-0.7586751,1.9811276,7.4794783,-0.6120197,-0.8352125,0.9328493
S Snater,0,RHB,-0.941455,2.0023485,7.9989214,-0.1875417,0.2151027,0.7602764
JA Porter,4,RHB,-0.9010843,1.9937379,5.1630874,-0.2887668,-0.0616603,0.7452871
JA Porter,0,RHB,-0.9618219,1.9333558,8.3877785,-0.4160172,0.0178041,0.7239576
JA Porter,1,RHB,-0.9444402,1.9559595,5.3060598,-0.195843,0.1916927,0.6377809
JA Porter,0,RHB,-0.9629021,1.9222957,9.719403,-0.5286574,0.1070321,0.7598523
JA Porter,0,RHB,-0.9072369,1.9133809,6.9528186,-0.1669643,0.1815691,0.7159559
JA Porter,4,RHB,-1.0140522,2.007373,5.536865,-0.2781965,-0.0870739,0.5031572
S Snater,0,RHB,-0.8334422,2.0888581,4.9884593,-0.1904216,-0.0304294,0.5601033
S Snater,0,RHB,-0.8714213,2.0657705,7.3334246,-0.3106728,-0.0665956,0.6926358
S Snater,4,RHB,-0.9285435,1.9524116,8.1101636,-0.2901821,0.107826,0.6278983
